"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000196557.13",5043.64832886602,-3.98480570772287,0.451270168947248,-8.8301996939414,1.04489003947292e-18,1.43969129198737e-16
"ENSG00000116604.18",4191.45322613609,-1.45533106178448,0.165127359270348,-8.81338542695283,1.21422197295315e-18,1.65972579683906e-16
"ENSG00000149294.17",2728.04975425947,-4.68876800528377,0.53219527876543,-8.81023976041394,1.2487847444235e-18,1.69352910655165e-16
"ENSG00000196550.10",49.7239382219263,2.6693414371162,0.303192939771389,8.80410157020446,1.31904897789628e-18,1.77484223018028e-16
"ENSG00000122420.10",669.065030508991,-3.89688514821249,0.442932784154788,-8.79791536688485,1.39381090378396e-18,1.86089962758692e-16
"ENSG00000163710.9",1528.8571969548,-4.60423423419264,0.523521814764899,-8.79473233844188,1.43389377080893e-18,1.89968864728017e-16
"ENSG00000165424.7",3182.81638749342,-3.05108425950345,0.34733083422035,-8.78437489246294,1.57236470621646e-18,2.06208459530388e-16
"ENSG00000198467.16",52472.5043986248,-4.05757513861655,0.46193843586949,-8.78380066161658,1.58041669035657e-18,2.06208459530388e-16
"ENSG00000103710.11",1867.84487171435,-3.39555389759896,0.386827197316084,-8.77796060142171,1.66465562670077e-18,2.1556664555389e-16
"ENSG00000108823.16",1040.5229818308,-4.60573832566297,0.5250703049382,-8.77166025643947,1.76050916380266e-18,2.24601846875358e-16
"ENSG00000203685.10",846.943368420039,-5.18878556823726,0.59153505988774,-8.77172955601646,1.75942575963017e-18,2.24601846875358e-16
"ENSG00000181804.15",750.58054731917,-2.42174300994758,0.276212453349957,-8.76768219743976,1.82381754149122e-18,2.30967717037524e-16
"ENSG00000185739.13",123.54136161014,-3.42991002324908,0.391317583450871,-8.76502914334209,1.86728350406511e-18,2.34746159054842e-16
"ENSG00000262097.2",47.9743457509675,-2.76613095790676,0.315651625113127,-8.76324003374101,1.89717102267979e-18,2.36775192200102e-16
"ENSG00000118526.7",660.394933562057,-4.19671246793414,0.479035382810186,-8.76075675937502,1.93943900321345e-18,2.40309050016872e-16
"ENSG00000172987.13",1163.82313855552,-4.73094525365714,0.541242683814845,-8.74089460260597,2.3127170227232e-18,2.84513752016869e-16
"ENSG00000127951.8",5555.56601701819,-3.95828057850085,0.453795842494089,-8.722602121575,2.71880284506245e-18,3.32098875180927e-16
"ENSG00000106772.18",5925.50609403837,-5.13676411944318,0.59045446999105,-8.69967860438255,3.32825440602402e-18,4.03679757992617e-16
"ENSG00000136842.14",870.884068541136,-4.12067707759208,0.47515693710602,-8.67224438032912,4.23685128774808e-18,5.10288739362834e-16
"ENSG00000142871.18",33523.8037576364,-3.06637381296717,0.354285886818672,-8.65508316038731,4.92552400920372e-18,5.8911319451747e-16
"ENSG00000153234.15",3414.63173852186,-2.94953845506963,0.341242786422542,-8.64351884472475,5.45077266324986e-18,6.47439017787258e-16
"ENSG00000134201.12",601.274656459945,-3.39794564563622,0.393647146571194,-8.63195802442245,6.03105188264527e-18,7.11457579279448e-16
"ENSG00000173641.18",3483.94370961279,-4.9139498496715,0.569416594506273,-8.62979740506556,6.14607400437336e-18,7.20094099165458e-16
"ENSG00000148180.21",55931.4884813636,-2.72791940223416,0.316483652702423,-8.61946384573334,6.72683359085464e-18,7.8281253334655e-16
"ENSG00000149591.17",65357.5646315244,-3.97751513186096,0.461710118452726,-8.61474542769463,7.00971724484389e-18,8.05288680697972e-16
"ENSG00000166501.14",1116.50333689046,-2.94064986434475,0.341377828274258,-8.61406225240346,7.05163716694452e-18,8.05288680697972e-16
"ENSG00000174099.12",7007.56985440147,-3.98266969808684,0.462352628575121,-8.61392247376346,7.0602444861751e-18,8.05288680697972e-16
"ENSG00000100583.4",49.467040146155,2.00482135656763,0.23285125528817,8.60987996000502,7.31371197633104e-18,8.28710930054931e-16
"ENSG00000240583.13",9442.17664002476,-2.76469030127956,0.321513282978734,-8.59899247603535,8.04189584144466e-18,9.05265176975173e-16
"ENSG00000154175.18",2819.8709161424,-3.76554865743109,0.438092680865933,-8.59532428158378,8.30299876414925e-18,9.28587972174952e-16
"ENSG00000187955.12",7924.50699191459,-3.06896595874001,0.358072262360528,-8.57080059345673,1.02768062892079e-17,1.14191893367115e-15
"ENSG00000168386.18",5550.8691725766,-2.89642772031173,0.338491999242153,-8.5568572574729,1.15986000446575e-17,1.28053005493036e-15
"ENSG00000061455.11",1079.62951312417,-3.61193596650256,0.422694560618262,-8.5450258958135,1.28507455560022e-17,1.40973497268169e-15
"ENSG00000184445.12",1201.97613034611,1.86158500772346,0.218423648266048,8.52281803047251,1.55717336498307e-17,1.69741752310781e-15
"ENSG00000136244.12",2329.65348584319,-4.58733490602498,0.538671064286896,-8.51602250456461,1.65126757815652e-17,1.78866550305596e-15
"ENSG00000074416.14",4191.81140335484,-2.5870951345835,0.304162813129201,-8.5056260098586,1.80618324003268e-17,1.93216732565731e-15
"ENSG00000159251.8",20149.7372932365,-6.69542865210829,0.787162384721173,-8.5057782003645,1.80381523241957e-17,1.93216732565731e-15
"ENSG00000077782.21",5152.8418242247,-2.45772693106004,0.289155136222093,-8.4996827764191,1.90109500074113e-17,2.02114562949164e-15
"ENSG00000189056.14",240.629959523076,-4.15383795556289,0.489098362100374,-8.49284781434297,2.01634258579569e-17,2.13051953099136e-15
"ENSG00000163687.14",211.584387151287,-3.94581060703429,0.464837103571011,-8.48858788750179,2.09163023927416e-17,2.19659436652554e-15
"ENSG00000245812.3",48.5020260545412,-3.26081574813439,0.384214014944939,-8.48697762522195,2.12080581514517e-17,2.21373566995426e-15
"ENSG00000198523.6",3777.16369417919,-4.95337555659239,0.584019982770473,-8.48151724722598,2.222761081046e-17,2.3061815722202e-15
"ENSG00000132329.11",1871.12739793183,-3.52244835009993,0.415637132051025,-8.47481632047136,2.35450732340251e-17,2.41644204821074e-15
"ENSG00000164330.17",801.574520283287,-2.72493849131288,0.321538483751827,-8.47468850234444,2.3570937937607e-17,2.41644204821074e-15
"ENSG00000164764.11",2345.33234509509,-4.30947754551042,0.508857490177033,-8.4689281944364,2.4766128296483e-17,2.52394690917354e-15
"ENSG00000177374.13",711.89764162407,-1.90258317957111,0.224968175971134,-8.45712141887677,2.74058522111099e-17,2.77653525077616e-15
"ENSG00000197361.8",518.265381888922,-4.14289854023267,0.491091453064128,-8.43610393620856,3.28091051208642e-17,3.30451004384003e-15
"ENSG00000181544.15",100.613026150763,2.24814986311849,0.266540921584854,8.43453924354644,3.32510175499152e-17,3.32954811198947e-15
"ENSG00000076555.15",2129.21563045741,-2.90949192540608,0.345214368100591,-8.42807308807695,3.51403565491309e-17,3.498395149397e-15
"ENSG00000136717.15",3494.26451606082,-2.82284873531073,0.33544179743272,-8.41531603072486,3.91837089920104e-17,3.87851160901951e-15
"ENSG00000127920.6",1809.86055448235,-2.185396431065,0.259973497500353,-8.40622775812766,4.23408534688726e-17,4.16706582453938e-15
"ENSG00000198554.12",727.189946057307,1.96415062966844,0.234284159971168,8.38362538000926,5.13219545968575e-17,5.02226150012317e-15
"ENSG00000070808.16",192.914117339073,-4.20866058936006,0.502215945618751,-8.38018112741287,5.28463153211015e-17,5.12454536310987e-15
"ENSG00000268754.4",51.9467299908752,-2.98776012709993,0.356537890267396,-8.37992316850019,5.29622641022793e-17,5.12454536310987e-15
"ENSG00000118785.14",6522.2045226708,5.05657000701367,0.603933671247382,8.37272410489993,5.63013147149408e-17,5.41719297952752e-15
"ENSG00000175899.15",51701.1503567643,-2.69441673508741,0.321841378914625,-8.37187792375869,5.67071747739885e-17,5.42593150629113e-15
"ENSG00000133121.21",1347.08195866749,-2.24318158136289,0.268122484187851,-8.36625689247037,5.94774493573489e-17,5.65955862034044e-15
"ENSG00000197256.11",12993.6664023135,-3.11619976624738,0.372800949759972,-8.35888365695888,6.33145114879529e-17,5.99157050196161e-15
"ENSG00000176208.9",392.956733355436,2.03962006080373,0.244349207154361,8.34715235853107,6.99284862848763e-17,6.58130229117172e-15
"ENSG00000203814.6",64.3763123057891,2.94049250630618,0.35252300685655,8.34127829705802,7.34917086092827e-17,6.87906357270476e-15
"ENSG00000069535.14",2471.37973718497,-4.01404484487972,0.482108049930367,-8.32602742364389,8.36004454529168e-17,7.78297552451668e-15
"ENSG00000066735.14",245.20184589392,-1.94408284354036,0.233875555862568,-8.3124670142217,9.37327108736014e-17,8.67934666331203e-15
