"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree","PosRank","NegRank","PolarScore"
"ENSG00000171992.13","ENSG00000171992",5,26,31,239,220,-21
"ENSG00000168411.14","ENSG00000168411",24,3,27,56,391,21
"ENSG00000168477.19","ENSG00000168477",1,22,23,370,234,-21
"ENSG00000206052.11","ENSG00000206052",1,21,22,370,238,-20
"ENSG00000172167.8","ENSG00000172167",1,21,22,370,238,-20
"ENSG00000137033.11","ENSG00000137033",0,20,20,487,243,-20
"ENSG00000006634.8","ENSG00000006634",25,6,31,53,337,19
"ENSG00000159251.8","ENSG00000159251",4,23,27,262,228,-19
"ENSG00000233117.4","ENSG00000233117",3,22,25,282,234,-19
"ENSG00000021574.13","ENSG00000021574",22,3,25,65,391,19
"ENSG00000157514.16","ENSG00000157514",20,1,21,71,473,19
"ENSG00000205363.6","ENSG00000205363",19,0,19,75,556,19
"ENSG00000108883.13","ENSG00000108883",37,19,56,27,245,18
"ENSG00000162769.13","ENSG00000162769",26,8,34,49,310,18
"ENSG00000255248.9","ENSG00000255248",6,24,30,219,224,-18
"ENSG00000111445.14","ENSG00000111445",19,1,20,75,473,18
"ENSG00000165633.13","ENSG00000165633",0,18,18,487,247,-18
"ENSG00000169418.10","ENSG00000169418",0,18,18,487,247,-18
"ENSG00000167676.4","ENSG00000167676",7,24,31,206,224,-17
"ENSG00000155760.2","ENSG00000155760",6,23,29,219,228,-17
"ENSG00000162929.14","ENSG00000162929",4,21,25,262,238,-17
"ENSG00000019991.18","ENSG00000019991",3,20,23,282,243,-17
"ENSG00000145362.20","ENSG00000145362",2,19,21,316,245,-17
"ENSG00000164736.6","ENSG00000164736",18,1,19,79,473,17
"ENSG00000130032.17","ENSG00000130032",0,17,17,487,251,-17
"ENSG00000069702.11","ENSG00000069702",0,17,17,487,251,-17
"ENSG00000135424.18","ENSG00000135424",33,49,82,33,178,-16
"ENSG00000167874.7","ENSG00000167874",18,2,20,79,434,16
"ENSG00000100625.9","ENSG00000100625",2,18,20,316,247,-16
"ENSG00000143603.19","ENSG00000143603",1,17,18,370,251,-16
"ENSG00000143632.14","ENSG00000143632",33,18,51,33,247,15
"ENSG00000171368.12","ENSG00000171368",16,1,17,94,473,15
"ENSG00000112658.8","ENSG00000112658",16,1,17,94,473,15
"ENSG00000091986.16","ENSG00000091986",1,16,17,370,254,-15
"ENSG00000106809.11","ENSG00000106809",0,15,15,487,259,-15
"ENSG00000177432.8","ENSG00000177432",0,15,15,487,259,-15
"ENSG00000184113.9","ENSG00000184113",15,0,15,101,556,15
"ENSG00000095794.19","ENSG00000095794",15,0,15,101,556,15
"ENSG00000154065.17","ENSG00000154065",7,21,28,206,238,-14
"ENSG00000145147.20","ENSG00000145147",1,15,16,370,259,-14
"ENSG00000107562.16","ENSG00000107562",0,14,14,487,262,-14
"ENSG00000186642.16","ENSG00000186642",26,13,39,49,267,13
"ENSG00000065325.13","ENSG00000065325",10,23,33,160,228,-13
"ENSG00000182575.8","ENSG00000182575",3,16,19,282,254,-13
"ENSG00000140538.16","ENSG00000140538",16,3,19,94,391,13
"ENSG00000133466.14","ENSG00000133466",3,16,19,282,254,-13
"ENSG00000130528.12","ENSG00000130528",15,2,17,101,434,13
"ENSG00000183010.17","ENSG00000183010",1,14,15,370,262,-13
"ENSG00000119865.9","ENSG00000119865",1,14,15,370,262,-13
"ENSG00000158246.8","ENSG00000158246",13,0,13,125,556,13
"ENSG00000140092.14","ENSG00000140092",0,13,13,487,267,-13
"ENSG00000163106.11","ENSG00000163106",0,13,13,487,267,-13
"ENSG00000111728.10","ENSG00000111728",0,13,13,487,267,-13
"ENSG00000134352.20","ENSG00000134352",0,13,13,487,267,-13
"ENSG00000136122.18","ENSG00000136122",9,21,30,170,238,-12
"ENSG00000245812.3","ENSG00000245812",15,3,18,101,391,12
"ENSG00000008735.14","ENSG00000008735",15,3,18,101,391,12
"ENSG00000143727.16","ENSG00000143727",15,3,18,101,391,12
"ENSG00000105048.17","ENSG00000105048",14,2,16,114,434,12
"ENSG00000161281.11","ENSG00000161281",1,13,14,370,267,-12
"ENSG00000115392.12","ENSG00000115392",13,1,14,125,473,12
"ENSG00000196182.11","ENSG00000196182",13,1,14,125,473,12
"ENSG00000163132.8","ENSG00000163132",0,12,12,487,279,-12
"ENSG00000155660.11","ENSG00000155660",37,26,63,27,220,11
"ENSG00000115252.18","ENSG00000115252",2,13,15,316,267,-11
"ENSG00000125827.9","ENSG00000125827",2,13,15,316,267,-11
"ENSG00000177363.5","ENSG00000177363",0,11,11,487,284,-11
"ENSG00000105499.14","ENSG00000105499",0,11,11,487,284,-11
"ENSG00000122707.12","ENSG00000122707",2,12,14,316,279,-10
"ENSG00000020181.18","ENSG00000020181",1,11,12,370,284,-10
"ENSG00000132561.14","ENSG00000132561",0,10,10,487,292,-10
"ENSG00000109610.6","ENSG00000109610",0,10,10,487,292,-10
"ENSG00000044524.11","ENSG00000044524",0,10,10,487,292,-10
"ENSG00000174282.12","ENSG00000174282",0,10,10,487,292,-10
"ENSG00000149243.16","ENSG00000149243",17,8,25,85,310,9
"ENSG00000120254.16","ENSG00000120254",15,6,21,101,337,9
"ENSG00000109063.15","ENSG00000109063",13,4,17,125,371,9
"ENSG00000163029.16","ENSG00000163029",11,2,13,147,434,9
"ENSG00000172465.14","ENSG00000172465",11,2,13,147,434,9
"ENSG00000131831.18","ENSG00000131831",10,1,11,160,473,9
"ENSG00000187479.8","ENSG00000187479",10,1,11,160,473,9
"ENSG00000133800.9","ENSG00000133800",0,9,9,487,302,-9
"ENSG00000198554.12","ENSG00000198554",0,9,9,487,302,-9
"ENSG00000183722.9","ENSG00000183722",0,9,9,487,302,-9
"ENSG00000078804.13","ENSG00000078804",16,8,24,94,310,8
"ENSG00000159147.18","ENSG00000159147",9,1,10,170,473,8
"ENSG00000138135.7","ENSG00000138135",1,9,10,370,302,-8
"ENSG00000133121.21","ENSG00000133121",0,8,8,487,310,-8
"ENSG00000081189.16","ENSG00000081189",0,8,8,487,310,-8
"ENSG00000136826.15","ENSG00000136826",8,0,8,179,556,8
"ENSG00000026559.14","ENSG00000026559",0,8,8,487,310,-8
"ENSG00000081052.13","ENSG00000081052",0,8,8,487,310,-8
"ENSG00000163531.15","ENSG00000163531",28,35,63,41,202,-7
"ENSG00000187741.15","ENSG00000187741",14,7,21,114,322,7
"ENSG00000176208.9","ENSG00000176208",5,12,17,239,279,-7
"ENSG00000136717.15","ENSG00000136717",3,10,13,282,292,-7
"ENSG00000203814.6","ENSG00000203814",10,3,13,160,391,7
"ENSG00000168398.7","ENSG00000168398",9,2,11,170,434,7
"ENSG00000188906.16","ENSG00000188906",2,9,11,316,302,-7
"ENSG00000161544.10","ENSG00000161544",9,2,11,170,434,7
"ENSG00000141448.11","ENSG00000141448",1,8,9,370,310,-7
"ENSG00000008300.17","ENSG00000008300",8,1,9,179,473,7
"ENSG00000099953.10","ENSG00000099953",0,7,7,487,322,-7
"ENSG00000078596.11","ENSG00000078596",0,7,7,487,322,-7
"ENSG00000160298.18","ENSG00000160298",0,7,7,487,322,-7
"ENSG00000168386.18","ENSG00000168386",0,7,7,487,322,-7
"ENSG00000165124.18","ENSG00000165124",0,7,7,487,322,-7
"ENSG00000132326.12","ENSG00000132326",7,0,7,206,556,7
"ENSG00000122641.11","ENSG00000122641",0,7,7,487,322,-7
"ENSG00000138162.19","ENSG00000138162",0,7,7,487,322,-7
"ENSG00000162814.11","ENSG00000162814",8,2,10,179,434,6
"ENSG00000163827.13","ENSG00000163827",1,7,8,370,322,-6
"ENSG00000159259.8","ENSG00000159259",1,7,8,370,322,-6
"ENSG00000180340.7","ENSG00000180340",1,7,8,370,322,-6
"ENSG00000163072.16","ENSG00000163072",7,1,8,206,473,6
"ENSG00000123500.10","ENSG00000123500",0,6,6,487,337,-6
"ENSG00000177098.9","ENSG00000177098",6,0,6,219,556,6
"ENSG00000116830.12","ENSG00000116830",0,6,6,487,337,-6
"ENSG00000112561.19","ENSG00000112561",6,0,6,219,556,6
"ENSG00000163513.19","ENSG00000163513",0,6,6,487,337,-6
"ENSG00000149534.9","ENSG00000149534",0,6,6,487,337,-6
"ENSG00000107758.16","ENSG00000107758",0,6,6,487,337,-6
"ENSG00000147100.11","ENSG00000147100",0,6,6,487,337,-6
"ENSG00000111581.10","ENSG00000111581",0,6,6,487,337,-6
"ENSG00000266256.3","ENSG00000266256",6,0,6,219,556,6
"ENSG00000174348.14","ENSG00000174348",0,6,6,487,337,-6
"ENSG00000161638.11","ENSG00000161638",36,31,67,30,211,5
"ENSG00000138685.17","ENSG00000138685",9,14,23,170,262,-5
"ENSG00000196890.4","ENSG00000196890",8,13,21,179,267,-5
"ENSG00000062822.15","ENSG00000062822",13,8,21,125,310,5
"ENSG00000271936.1","ENSG00000271936",8,13,21,179,267,-5
"ENSG00000114859.16","ENSG00000114859",8,3,11,179,391,5
"ENSG00000143878.10","ENSG00000143878",2,7,9,316,322,-5
"ENSG00000175931.13","ENSG00000175931",7,2,9,206,434,5
"ENSG00000070950.10","ENSG00000070950",2,7,9,316,322,-5
"ENSG00000116741.8","ENSG00000116741",6,1,7,219,473,5
"ENSG00000277494.2","ENSG00000277494",6,1,7,219,473,5
"ENSG00000174059.17","ENSG00000174059",1,6,7,370,337,-5
"ENSG00000129244.9","ENSG00000129244",6,1,7,219,473,5
"ENSG00000060718.22","ENSG00000060718",0,5,5,487,355,-5
"ENSG00000181544.15","ENSG00000181544",0,5,5,487,355,-5
"ENSG00000197253.13","ENSG00000197253",0,5,5,487,355,-5
"ENSG00000179921.15","ENSG00000179921",0,5,5,487,355,-5
"ENSG00000154721.15","ENSG00000154721",0,5,5,487,355,-5
"ENSG00000136011.15","ENSG00000136011",0,5,5,487,355,-5
"ENSG00000260920.2","ENSG00000260920",0,5,5,487,355,-5
"ENSG00000103042.9","ENSG00000103042",12,8,20,137,310,4
"ENSG00000058804.12","ENSG00000058804",8,12,20,179,279,-4
"ENSG00000189134.4","ENSG00000189134",7,11,18,206,284,-4
"ENSG00000126351.13","ENSG00000126351",7,11,18,206,284,-4
"ENSG00000095002.15","ENSG00000095002",9,5,14,170,355,4
"ENSG00000130695.16","ENSG00000130695",8,4,12,179,371,4
"ENSG00000146966.13","ENSG00000146966",2,6,8,316,337,-4
