"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree"
"ENSG00000164949.8","ENSG00000164949",4,0,4
"ENSG00000138346.15","ENSG00000138346",0,1,1
"ENSG00000154556.18","ENSG00000154556",4,102,106
"ENSG00000091436.17","ENSG00000091436",16,191,207
"ENSG00000137726.17","ENSG00000137726",26,100,126
"ENSG00000272476.1","ENSG00000272476",3,1,4
"ENSG00000280339.1","ENSG00000280339",0,1,1
"ENSG00000131697.18","ENSG00000131697",0,1,1
"ENSG00000117013.17","ENSG00000117013",23,128,151
"ENSG00000081189.16","ENSG00000081189",0,8,8
"ENSG00000166963.13","ENSG00000166963",25,135,160
"ENSG00000177469.13","ENSG00000177469",11,142,153
"ENSG00000197245.6","ENSG00000197245",0,0,0
"ENSG00000144218.19","ENSG00000144218",14,46,60
"ENSG00000117593.12","ENSG00000117593",12,11,23
"ENSG00000136826.15","ENSG00000136826",8,0,8
"ENSG00000130052.13","ENSG00000130052",0,0,0
"ENSG00000166086.13","ENSG00000166086",13,58,71
"ENSG00000005102.14","ENSG00000005102",1,0,1
"ENSG00000177432.8","ENSG00000177432",0,15,15
"ENSG00000170271.11","ENSG00000170271",1,4,5
"ENSG00000185271.9","ENSG00000185271",1,0,1
"ENSG00000162878.13","ENSG00000162878",6,58,64
"ENSG00000073111.14","ENSG00000073111",1,4,5
"ENSG00000115252.18","ENSG00000115252",2,13,15
"ENSG00000158104.11","ENSG00000158104",0,90,90
"ENSG00000177098.9","ENSG00000177098",6,0,6
"ENSG00000123473.16","ENSG00000123473",7,4,11
"ENSG00000084774.14","ENSG00000084774",3,4,7
"ENSG00000197580.13","ENSG00000197580",1,0,1
"ENSG00000091986.16","ENSG00000091986",1,16,17
"ENSG00000069702.11","ENSG00000069702",0,17,17
"ENSG00000011465.18","ENSG00000011465",0,30,30
"ENSG00000125648.15","ENSG00000125648",14,100,114
"ENSG00000168398.7","ENSG00000168398",9,2,11
"ENSG00000157368.11","ENSG00000157368",34,3,37
"ENSG00000086232.13","ENSG00000086232",27,6,33
"ENSG00000174442.12","ENSG00000174442",8,7,15
"ENSG00000167874.7","ENSG00000167874",18,2,20
"ENSG00000116830.12","ENSG00000116830",0,6,6
"ENSG00000224848.2","ENSG00000224848",1,1,2
"ENSG00000112936.19","ENSG00000112936",1,3,4
"ENSG00000103042.9","ENSG00000103042",12,8,20
"ENSG00000205363.6","ENSG00000205363",19,0,19
"ENSG00000111445.14","ENSG00000111445",19,1,20
"ENSG00000167641.11","ENSG00000167641",12,95,107
